"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can save an event and view it in bookmarks","37396","VerifySavingEventAndViewingInBookmarks","","Tue May 12 10:52:41 UTC 2026","broken","Tue May 12 10:53:18 UTC 2026","Format","GreenCity","EventDetailsPageTests","VerifySavingEventAndViewingInBookmarks"
"Verify publication date is displayed in American format","22087","VerifyPublicationDateIsDisplayedInAmericanFormat","","Tue May 12 10:54:30 UTC 2026","broken","Tue May 12 10:54:52 UTC 2026","Format","GreenCity","NewsDetailsPageTests","VerifyPublicationDateIsDisplayedInAmericanFormat"
"Inability to save an event with a whitespace value in 'Title' field","20404","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted","","Tue May 12 10:54:43 UTC 2026","broken","Tue May 12 10:55:03 UTC 2026","","GreenCity","TC011_CreateEventTest","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted"
"Action button is enabled","20667","TC037_Step6_ActionButtons_ArePresentAndEnabled","","Tue May 12 10:56:39 UTC 2026","broken","Tue May 12 10:57:00 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step6_ActionButtons_ArePresentAndEnabled"
"TC-034: Editing user profile","21605","EditProfile_ShouldSaveAndRevertChanges","green_city_sh.Tests","Tue May 12 10:57:09 UTC 2026","broken","Tue May 12 10:57:30 UTC 2026","ProfileTests","green_city_sh.Tests.Tests.WEB","ProfileTests","EditProfile_ShouldSaveAndRevertChanges"
"","3213","VerifyHomePageLoads","green_city_sh.Tests","Tue May 12 10:53:29 UTC 2026","passed","Tue May 12 10:53:32 UTC 2026","HomePageTests","green_city_sh.Tests.Tests.WEB","HomePageTests","VerifyHomePageLoads"
"Entered valid text is displayed","20966","TC001_Step2_EnterValidText_IsDisplayedInInput","","Tue May 12 10:55:06 UTC 2026","broken","Tue May 12 10:55:27 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step2_EnterValidText_IsDisplayedInInput"
"TC-025: Attempt to login with invalid password","5328","AttemptToLoginWithInvalidPassword","","Tue May 12 10:54:00 UTC 2026","failed","Tue May 12 10:54:05 UTC 2026","LoginPage","","LoginTests","AttemptToLoginWithInvalidPassword"
"","64","VerifySuccessSignIn","green_city_sh.Tests","Tue May 12 10:52:41 UTC 2026","failed","Tue May 12 10:52:41 UTC 2026","LoginAPITests","green_city_sh.Tests.Tests.API","LoginAPITests","VerifySuccessSignIn"
"Verify that ""Create event"" button redirects to the event creation","38336","CreateEventTest","green_city_sh.Tests","Tue May 12 10:52:41 UTC 2026","broken","Tue May 12 10:53:19 UTC 2026","CreateEventButtonTest","green_city_sh.Tests.Tests.WEB","CreateEventButtonTest","CreateEventTest"
"Verify publication date is displayed in Ukrainian format","20483","VerifyPublicationDateIsDisplayedInUkrainianFormat","","Tue May 12 10:54:52 UTC 2026","broken","Tue May 12 10:55:13 UTC 2026","Format","GreenCity","NewsDetailsPageTests","VerifyPublicationDateIsDisplayedInUkrainianFormat"
"Verify that the user cannot submit a comment with an uploaded image only","25813","VerifyCommentSubmissionWithImageOnly","","Tue May 12 10:53:18 UTC 2026","broken","Tue May 12 10:53:44 UTC 2026","Format","GreenCity","EventDetailsPageTests","VerifyCommentSubmissionWithImageOnly"
