"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Event card UI","6","0","","0"
"0","","0","Event Details","3","0","","0"
"1","","0","Profile","0","0","","0"
"1","","1","News Details","5","0","","0"
"0","","0","Add comment","4","0","","0"
"1","","0","Create News","0","0","","0"
"1","","1","","8","0","","0"
"0","","0","Publish button validation","3","0","","0"
"0","","1","Multiple Filters","0","0","","0"
"0","","1","News Filtering","2","0","","0"
"0","","1","News Search","2","0","","0"
"0","","0","Login","1","0","","0"
"0","","0","Title validation","2","0","","0"
"0","","1","Event Comments API Tests","4","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
"0","","0","Event Page","1","0","","0"
"0","","0","Authentication","3","0","","0"
"0","","0","Search by Keyword","1","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","Filter by Tags","1","0","","0"
