"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Search by Keyword","0","0","","0"
"3","","0","News Filtering","0","0","","0"
"3","","0","News Search","0","0","","0"
"4","","0","News Details","3","0","","0"
"0","","0","Add comment","4","0","","0"
"3","","1","","4","0","","0"
"0","","0","Event card UI","6","0","","0"
"0","","0","Authentication","3","0","","0"
"0","","0","Event Page","1","0","","0"
"0","","0","Publish button validation","3","0","","0"
"0","","0","Title validation","2","0","","0"
"0","","0","Event Details","3","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","Login","1","0","","0"
"1","","0","Multiple Filters","0","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
"1","","0","Filter by Tags","0","0","","0"
"1","","0","Create News","0","0","","0"
"1","","0","Profile","0","0","","0"
