"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Event Page","1","0","","0"
"0","","0","Event Details","3","0","","0"
"2","","1","","19","0","","0"
"1","","0","Search by Keyword","0","0","","0"
"3","","0","News Filtering","0","0","","0"
"3","","0","News Search","0","0","","0"
"0","","0","Title validation","2","0","","0"
"0","","1","News Details","6","0","","0"
"1","","0","Create News","0","0","","0"
"1","","0","Filter by Tags","0","0","","0"
"1","","0","Multiple Filters","0","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","Authentication","2","0","","0"
