"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Title validation","0","0","","0"
"7","","0","News Details","0","0","","0"
"4","","0","Add comment","0","0","","0"
"6","","2","","5","0","","0"
"1","","0","Create News","0","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
"6","","0","Event card UI","0","0","","0"
"0","","0","Login","1","0","","0"
"3","","0","Publish button validation","0","0","","0"
"0","","0","Event Page","1","0","","0"
"0","","0","Event Details","3","0","","0"
"1","","0","Profile","0","0","","0"
