"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","3","","47","0","","0"
"4","","1","News Details","2","0","","0"
"0","","0","Authentication","3","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","Event Details","3","0","","0"
"1","","0","Create News","0","0","","0"
"6","","0","Event card UI","0","0","","0"
"3","","0","Add comment","1","0","","0"
"2","","0","Title validation","0","0","","0"
"1","","0","Profile","0","0","","0"
"0","","0","Login","1","0","","0"
"0","","1","Multiple Filters","0","0","","0"
"0","","1","News Filtering","2","0","","0"
"0","","1","News Search","2","0","","0"
"0","","0","Filter by Tags","1","0","","0"
"0","","0","Event Page","1","0","","0"
"2","","0","Publish button validation","1","0","","0"
"0","","0","News","1","0","","0"
"0","","0","Search by Keyword","1","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
