"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that filter results are displayed correctly when selecting 'Events' and 'Ads'","25799","FilterByEventsAndAds_DisplaysCorrectResults","","Sun May 10 19:42:40 UTC 2026","failed","Sun May 10 19:43:06 UTC 2026","NewsPage","","NewsPageTests","FilterByEventsAndAds_DisplaysCorrectResults"
"","4190","VerifyHomePageLoads","green_city_sh.Tests","Sun May 10 19:42:08 UTC 2026","passed","Sun May 10 19:42:12 UTC 2026","HomePageTests","green_city_sh.Tests.Tests.WEB","HomePageTests","VerifyHomePageLoads"
"","316","VerifySearchEventsSuccess","green_city_sh.Tests","Sun May 10 19:41:39 UTC 2026","failed","Sun May 10 19:41:39 UTC 2026","SearchEventsAPITests","green_city_sh.Tests.Tests.API","SearchEventsAPITests","VerifySearchEventsSuccess"
"Event category tag is valid","20108","TC037_Step3_CategoryTag_IsValidValue","","Sun May 10 19:44:14 UTC 2026","passed","Sun May 10 19:44:34 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step3_CategoryTag_IsValidValue"
"Comment field becomes active after click","52976","TC001_Step1_ClickCommentField_BecomesActive","","Sun May 10 19:43:15 UTC 2026","passed","Sun May 10 19:44:08 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step1_ClickCommentField_BecomesActive"
"Filter and Search Functionality","18430","SearchTypeAndDateRange","green_city_sh.Tests","Sun May 10 19:43:00 UTC 2026","failed","Sun May 10 19:43:18 UTC 2026","SearchTypeAndDateRangeTest","green_city_sh.Tests.Tests.WEB","SearchTypeAndDateRangeTest","SearchTypeAndDateRange"
"TC-024: Successful login to the system with valid credentials","5297","VerifySuccessfulLoginWithValidCredentials","","Sun May 10 19:42:24 UTC 2026","passed","Sun May 10 19:42:29 UTC 2026","LoginPage","","LoginTests","VerifySuccessfulLoginWithValidCredentials"
"TC-009: Successful creation of a 1-day online event with all mandatory fields and a picture","29544","CreateOneDayOnlineEvent_WithMandatoryFieldsAndPicture_Successfully","green_city_sh.Tests","Sun May 10 19:41:39 UTC 2026","broken","Sun May 10 19:42:09 UTC 2026","CreateEventsTests","green_city_sh.Tests.Tests.WEB","CreateEventsTests","CreateOneDayOnlineEvent_WithMandatoryFieldsAndPicture_Successfully"
"Verify that the user can save an event and view it in bookmarks","14533","VerifySavingEventAndViewingInBookmarks","","Sun May 10 19:41:39 UTC 2026","passed","Sun May 10 19:41:54 UTC 2026","Format","GreenCity","EventDetailsPageTests","VerifySavingEventAndViewingInBookmarks"
"TC-027: Successful logout from the site (Sign Out)","11307","Logout_AfterSuccessfulLogin_ShouldEndUserSession","green_city_sh.Tests","Sun May 10 19:41:27 UTC 2026","passed","Sun May 10 19:41:38 UTC 2026","LogoutTests","green_city_sh.Tests.Tests.WEB","LogoutTests","Logout_AfterSuccessfulLogin_ShouldEndUserSession"
"TC-025: Attempt to login with invalid password","20817","AttemptToLoginWithInvalidPassword","","Sun May 10 19:42:29 UTC 2026","passed","Sun May 10 19:42:50 UTC 2026","LoginPage","","LoginTests","AttemptToLoginWithInvalidPassword"
"","494","VerifySignInNotValidPassword","green_city_sh.Tests","Sun May 10 19:41:38 UTC 2026","passed","Sun May 10 19:41:39 UTC 2026","LoginAPITests","green_city_sh.Tests.Tests.API","LoginAPITests","VerifySignInNotValidPassword"
"Event status is open or closed","20130","TC037_Step5_EventStatus_IsOpenOrClosed","","Sun May 10 19:44:54 UTC 2026","passed","Sun May 10 19:45:14 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step5_EventStatus_IsOpenOrClosed"
"Event card is visible","23096","TC037_Step1_FirstEventCard_IsVisible","","Sun May 10 19:43:27 UTC 2026","passed","Sun May 10 19:43:50 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step1_FirstEventCard_IsVisible"
"Event image is present","23532","TC037_Step2_EventImage_IsPresentAndLoaded","","Sun May 10 19:43:50 UTC 2026","passed","Sun May 10 19:44:14 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step2_EventImage_IsPresentAndLoaded"
"Valid title is accepted","5065","TC010_Step1_EnterValidTitle_TitleIsAccepted","","Sun May 10 19:45:56 UTC 2026","passed","Sun May 10 19:46:01 UTC 2026","","GreenCity","TC010_PublishButton_RemainsDisabled","TC010_Step1_EnterValidTitle_TitleIsAccepted"
