"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","3","0","","0"
"1","","0","Login","0","0","","0"
"0","","0","Event Page","1","0","","0"
"1","","0","Profile","0","0","","0"
"1","","1","","11","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","Eco News","15","0","","0"
"0","","0","Event Details","3","0","","0"
"3","","0","Add comment","1","0","","0"
"5","","0","News Details","2","0","","0"
"0","","0","Friend API Tests","3","0","","0"
"5","","0","Event card UI","1","0","","0"
"0","","0","Filter by Tags","1","0","","0"
"0","","1","News Filtering","2","0","","0"
"0","","1","News Search","2","0","","0"
"3","","0","Publish button validation","0","0","","0"
"0","","0","Habits","5","0","","0"
"1","","0","Create News","0","0","","0"
"0","","1","Multiple Filters","0","0","","0"
"1","","0","Title validation","1","0","","0"
"0","","0","Search by Keyword","1","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
