"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Event card UI","0","0","","0"
"1","","11","","54","0","","0"
"1","","0","Login","0","0","","0"
"0","","0","Event Page","1","0","","0"
"4","","0","Add comment","0","0","","0"
"2","","0","Title validation","0","0","","0"
"0","Habit Management","0","Habit Activities","3","0","Get user activities between dates","0"
"1","","0","Create News","0","0","","0"
"0","Habit Management","0","Habit Assignments","1","0","Get assigned habits for current user","0"
"1","","1","Authentication","1","0","","0"
"0","Habit Management","0","Habit Assignments","1","0","Validate habit statuses","0"
"7","","0","News Details","0","0","","0"
"3","","0","Publish button validation","0","0","","0"
"1","","0","Event Details","2","0","","0"
"1","","0","Search by Keyword","0","0","","0"
"3","","0","News Filtering","0","0","","0"
"3","","0","News Search","0","0","","0"
"0","Habit Management","0","Habit Assignments","2","0","Validate date fields","0"
"1","","0","Filter by Tags","0","0","","0"
"0","","0","Registration","1","0","TC-023: Successful registration of a new user with valid data","0"
"1","","0","Multiple Filters","0","0","","0"
"1","","0","Profile","0","0","","0"
"0","","0","Invalid Email Validation","1","0","","0"
"0","","0","News","1","0","","0"
"0","Habit Management","0","Habit Activities","1","0","Validate activities date range","0"
